centre,recipe_idx_per_centre,truncation,filter,gia_model,c20_treatment,c30_treatment,geocenter,spearman_rho_raw,n_aquifers,skill_score,abs_score,global_rank
JPL,265,60,DDK7,Geruo_ICE5G_VM2,replaced,replaced,GravIS,-0.585382086700859,31,0.585382086700859,0.585382086700859,203
JPL,271,60,DDK7,Geruo_ICE5G_VM2,original,original,GravIS,-0.585382086700859,31,0.585382086700859,0.585382086700859,204
JPL,323,96,G300,none,replaced,original,GravIS,-0.58436931492456,31,0.58436931492456,0.58436931492456,205
JPL,325,96,G300,none,original,replaced,GravIS,-0.58436931492456,31,0.58436931492456,0.58436931492456,206
JPL,327,96,G300,none,original,original,GravIS,-0.58436931492456,31,0.58436931492456,0.58436931492456,207
GFZ,281,60,DDK7,Peltier_ICE6G_D,replaced,replaced,GravIS,-0.5841667605693,31,0.5841667605693,0.5841667605693,208
JPL,227,60,DDK5,none,replaced,original,GravIS,-0.58396420621404,31,0.58396420621404,0.58396420621404,209
JPL,321,96,G300,none,replaced,replaced,GravIS,-0.58376165185878,31,0.58376165185878,0.58376165185878,210
JPL,228,60,DDK5,none,original,replaced,none,-0.583153988793001,31,0.583153988793001,0.583153988793001,211
JPL,230,60,DDK5,none,original,original,none,-0.583153988793001,31,0.583153988793001,0.583153988793001,212
CSR,296,60,DDK8,Geruo_ICE5G_VM2,replaced,replaced,none,-0.582951434437741,31,0.582951434437741,0.582951434437741,213
CSR,298,60,DDK8,Geruo_ICE5G_VM2,replaced,original,none,-0.582951434437741,31,0.582951434437741,0.582951434437741,214
CSR,320,96,G300,none,replaced,replaced,none,-0.582546325727222,31,0.582546325727222,0.582546325727222,215
CSR,322,96,G300,none,replaced,original,none,-0.582546325727222,31,0.582546325727222,0.582546325727222,216
GFZ,226,60,DDK5,none,replaced,original,none,-0.582546325727222,31,0.582546325727222,0.582546325727222,217
JPL,633,96,DDK8,Peltier_ICE6G_D,replaced,replaced,GravIS,-0.581736108306182,31,0.581736108306182,0.581736108306182,218
GFZ,257,60,DDK7,none,replaced,replaced,GravIS,-0.581736108306182,31,0.581736108306182,0.581736108306182,219
GFZ,259,60,DDK7,none,replaced,original,GravIS,-0.581736108306182,31,0.581736108306182,0.581736108306182,220
GFZ,287,60,DDK7,Peltier_ICE6G_D,original,original,GravIS,-0.581533553950923,31,0.581533553950923,0.581533553950923,221
JPL,557,96,DDK5,Geruo_ICE5G_VM2,original,replaced,GravIS,-0.581330999595663,31,0.581330999595663,0.581330999595663,222
JPL,559,96,DDK5,Geruo_ICE5G_VM2,original,original,GravIS,-0.581330999595663,31,0.581330999595663,0.581330999595663,223
JPL,231,60,DDK5,none,original,original,GravIS,-0.580925890885143,31,0.580925890885143,0.580925890885143,224
